probeID	symbol	description	accession	ensg	unigene
1257	BLK	B lymphoid tyrosine kinase	NM_001715	ENSG00000136573	Hs.146591
1258	MSN	Moesin	NM_002444	ENSG00000147065	Hs.87752
1259		Transcribed locus	AI653677		Hs.136893
1260	SVIL	Supervillin	NM_003174	ENSG00000197321	Hs.499209
1261	CXCR5	Chemokine (C-X-C motif) receptor 5	NM_001716	ENSG00000160683	Hs.113916
1262	MSR1	Macrophage scavenger receptor 1	NM_002445	ENSG00000038945	Hs.147635
1263	BNC1	Basonuclin 1	NM_001717	ENSG00000169594	Hs.459153
1264	XCL2	Chemokine (C motif) ligand 2	NM_003175	ENSG00000143185	Hs.458346
1265	MST1R	Macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	NM_002447	ENSG00000164078	Hs.517973
1266	SYCP1	Synaptonemal complex protein 1	NM_003176	ENSG00000198765	Hs.112743
1267	BMP6	Bone morphogenetic protein 6	NM_001718	ENSG00000153162	Hs.285671
1268	SYK	Spleen tyrosine kinase	NM_003177		Hs.371720
1269	BMP7	Bone morphogenetic protein 7	NM_001719	ENSG00000101144	Hs.473163
1270	MSX1	Msh homeobox 1	NM_002448	ENSG00000163132	Hs.424414
1271		Transcribed locus	AI369457		Hs.351151
1272	MSX2	Msh homeobox 2	NM_002449	ENSG00000120149	Hs.89404
1273	SYN2	Synapsin II	NM_003178	ENSG00000157152|ENSG00000157152	Hs.445503
1274	FSD1L	Fibronectin type III and SPRY domain containing 1-like	AI358562		Hs.136901
1275		Transcribed locus	AI572759		Hs.669503
1276	FAM120B	Family with sequence similarity 120B	AW139439	ENSG00000112584	Hs.369522
1277	AGPAT6	"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)"	AI742085	ENSG00000158669	Hs.355753
1278		Transcribed locus	AW291332		Hs.656487
1279		"CDNA: FLJ22539 fis, clone HRC13227"	AI971023	NA	Hs.17519
1280	FBXO38	F-box protein 38	AW027389	ENSG00000145868	Hs.483772
1281	LOC100130979	Hypothetical protein LOC100130979	AI005455	NA	Hs.585624
1282	C10orf47	Chromosome 10 open reading frame 47	AW274446	ENSG00000148426	Hs.435775
1283	BMP8B	Bone morphogenetic protein 8b	NM_001720	ENSG00000116985|ENSG00000116985	Hs.664022
1284			NM_002450		Data not found
1285	BMX	BMX non-receptor tyrosine kinase	NM_001721	ENSG00000102010	Hs.495731
1286	POLR3D	"Polymerase (RNA) III (DNA directed) polypeptide D, 44kDa"	NM_001722	ENSG00000168495	Hs.148342
1287	SYT5	Synaptotagmin V	NM_003180	ENSG00000129990	Hs.631566
1288	MTAP	Methylthioadenosine phosphorylase	NM_002451	ENSG00000099810|ENSG00000099810	Hs.193268
1289		"CDNA FLJ34018 fis, clone FCBBF2002801"	AI654139	NA	Hs.513971
1290	DST	Dystonin	NM_001723		Hs.631992
1291	NUDT1	Nudix (nucleoside diphosphate linked moiety X)-type motif 1	NM_002452	ENSG00000106268	Hs.534331
1292	T	"T, brachyury homolog (mouse)"	NM_003181	ENSG00000164458	Hs.389457
1293	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	AF199364		Hs.189329
1294	LOC552889	Hypothetical protein LOC552889	AI827926	NA	Hs.213541
1295		Transcribed locus	AW205453		Hs.59368
1296	TAC1	"Tachykinin, precursor 1"	NM_003182		Hs.2563
1297	MTIF2	Mitochondrial translational initiation factor 2	NM_002453	ENSG00000085760	Hs.149894
1298	BPGM	"2,3-bisphosphoglycerate mutase"	NM_001724	ENSG00000172331|ENSG00000172331	Hs.198365
1299	ADAM17	ADAM metallopeptidase domain 17	NM_003183	ENSG00000151694	Hs.404914
1300	BPI	Bactericidal/permeability-increasing protein	NM_001725	ENSG00000101425	Hs.529019
1301	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	NM_002454	ENSG00000124275	Hs.481551
1302	PHLDB3	"Pleckstrin homology-like domain, family B, member 3"	AA781745	ENSG00000176531	Hs.631581
1303	TAF2	"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa"	NM_003184	ENSG00000064313	Hs.122752
1304	MTX1	Metaxin 1	NM_002455	ENSG00000173171	Hs.490874
1305	BRDT	"Bromodomain, testis-specific"	NM_001726	ENSG00000137948	Hs.482520
1306	TAF4	"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa"	NM_003185	ENSG00000130699	Hs.18857
1307	BRS3	Bombesin-like receptor 3	NM_001727	ENSG00000102239	Hs.121484
1308	MUC1	"Mucin 1, cell surface associated"	NM_002456	ENSG00000185499	Hs.89603
1309	BSG	Basigin (Ok blood group)	NM_001728	ENSG00000172270	Hs.501293
1310	MUC2	"Mucin 2, oligomeric mucus/gel-forming"	NM_002457	ENSG00000198788	Hs.315
1311	TAGLN	Transgelin	NM_003186	ENSG00000149591	Hs.410977
1312	TAF9	"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa"	NM_003187		Hs.653163
1313	BTC	Betacellulin	NM_001729	ENSG00000174808	Hs.710156
1314	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	NM_003188	ENSG00000135341	Hs.719192
1315	TAL1	T-cell acute lymphocytic leukemia 1	NM_003189	ENSG00000162367	Hs.709194
1316	TRPV5	"Transient receptor potential cation channel, subfamily V, member 5"	NM_019841	ENSG00000127412	Hs.283369
1317	KCNQ5	"Potassium voltage-gated channel, KQT-like subfamily, member 5"	NM_019842	ENSG00000185760	Hs.675919
1318	EIF4ENIF1	Eukaryotic translation initiation factor 4E nuclear import factor 1	NM_019843	ENSG00000184708	Hs.517559
1319	LOC149134	Hypothetical LOC149134	AI079539	NA	Hs.417972
1320	SLCO1B3	"Solute carrier organic anion transporter family, member 1B3"	NM_019844	ENSG00000111700	Hs.504966
1321	RPRM	"Reprimo, TP53 dependent G2 arrest mediator candidate"	NM_019845	ENSG00000177519	Hs.100890
1322			NM_019846		Data not found
1323			NM_019847		Data not found
1324	SLC10A3	"Solute carrier family 10 (sodium/bile acid cotransporter family), member 3"	NM_019848	ENSG00000126903	Hs.522826
1325	SLC7A10	"Solute carrier family 7, (neutral amino acid transporter, y+ system) member 10"	NM_019849	ENSG00000130876	Hs.58679
1326			AI378893		Data not found
1327		Transcribed locus	AI247780		Hs.668158
1328	SPEM1	Spermatid maturation 1	AI207997	ENSG00000181323	Hs.710599
1329		Transcribed locus	AW292820		Hs.719480
1330	NRARP	NOTCH-regulated ankyrin repeat protein	W72331	ENSG00000198435	Hs.535075
1331		Transcribed locus	AI243098		Hs.662809
1332		Full length insert cDNA clone YZ04E02	AW137073	NA	Hs.420459
1333	ARL6IP6	ADP-ribosylation-like factor 6 interacting protein 6	AI122693		Hs.718420
1334		"CDNA FLJ42015 fis, clone SPLEN2032813"	AI982662	NA	Hs.276976
1335		Transcribed locus	AA521275		Hs.148805
1336	KLF5	Kruppel-like factor 5 (intestinal)	NM_001730	ENSG00000102554	Hs.508234
1337	BTG1	"B-cell translocation gene 1, anti-proliferative"	NM_001731	ENSG00000133639	Hs.255935
1338	IRF4	Interferon regulatory factor 4	NM_002460	ENSG00000137265	Hs.401013
1339	NCRNA00085	Non-protein coding RNA 85	AA725913	NA	Hs.467174
1340	TAPBP	TAP binding protein (tapasin)	NM_003190	ENSG00000112493	Hs.714746
1341	MVD	Mevalonate (diphospho) decarboxylase	NM_002461	ENSG00000167508	Hs.252457
1342	BTN1A1	"Butyrophilin, subfamily 1, member A1"	NM_001732	ENSG00000124557	Hs.153058
1343	C1R	"Complement component 1, r subcomponent"	NM_001733	NA	Hs.524224
1344	MX1	"Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"	NM_002462	ENSG00000157601	Hs.517307
1345			NM_003191		Data not found
1346	C1S	"Complement component 1, s subcomponent"	NM_001734	ENSG00000182326	Hs.458355
1347	TBCC	Tubulin folding cofactor C	NM_003192	ENSG00000124659	Hs.75064
1348	TBCE	Tubulin folding cofactor E	NM_003193	ENSG00000116957	Hs.498143
1349	C5	Complement component 5	NM_001735		Hs.494997
1350	C5AR1	Complement component 5a receptor 1	NM_001736	ENSG00000197405	Hs.2161
1351	MYBPC1	"Myosin binding protein C, slow type"	NM_002465	ENSG00000196091	Hs.654589
1352	TBP	TATA box binding protein	NM_003194	ENSG00000112592	Hs.590872
1353	TCEA2	"Transcription elongation factor A (SII), 2"	NM_003195	ENSG00000171703	Hs.505004
1354	MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	NM_002466	ENSG00000101057	Hs.179718
1355	C9	Complement component 9	NM_001737	ENSG00000113600	Hs.654443
1356	CA1	Carbonic anhydrase I	NM_001738	ENSG00000133742	Hs.23118
1357	CA5A	"Carbonic anhydrase VA, mitochondrial"	NM_001739	ENSG00000174990	Hs.177446
1358	MYD88	Myeloid differentiation primary response gene (88)	NM_002468	ENSG00000172936	Hs.82116
1359			NM_003197		Data not found
1360	RPL11	Ribosomal protein L11	NM_003198		Hs.15535
1361	MYF6	Myogenic factor 6 (herculin)	NM_002469	ENSG00000111046	Hs.35937
1362	TCF4	Transcription factor 4	NM_003199		Hs.605153
1363	FGF20	Fibroblast growth factor 20	NM_019851	ENSG00000078579	Hs.199905
1364	METTL3	Methyltransferase like 3	NM_019852	ENSG00000165819	Hs.168799
1365	LOC100129055	Cyclin Y-like pseudogene	AA927631	NA	Hs.148265
1366			NM_019853		Data not found
1367	PRMT8	Protein arginine methyltransferase 8	NM_019854	ENSG00000111218|ENSG00000111218	Hs.504530
1368	CTPS2	CTP synthase II	NM_019857	ENSG00000047230	Hs.227049
1369	GPR162	G protein-coupled receptor 162	NM_019858		Hs.631654
1370		Transcribed locus	AI005573		Hs.545456
1371	HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	NM_019859		Hs.73739
1372	NT5C2	"5'-nucleotidase, cytosolic II"	AI769281	ENSG00000076685|ENSG00000076685	Hs.97439
1373	S1PR5	Sphingosine-1-phosphate receptor 5	AI823789	ENSG00000180739	Hs.501561
1374		Transcribed locus	AI363420		Hs.649302
1375	FAM98A	"Family with sequence similarity 98, member A"	AI743261		Hs.468140
1376	EHD4	EH-domain containing 4	AF181265	ENSG00000103966	Hs.143703
1377	SMYD3	SET and MYND domain containing 3	AW173130	ENSG00000185420	Hs.567571
1378	OSR2	Odd-skipped related 2 (Drosophila)	AA897502	ENSG00000164920|ENSG00000164920	Hs.253247
1379		Transcribed locus	AI393558		Hs.680998
1380	RAB18	"RAB18, member RAS oncogene family"	AI925255		Hs.406799
1381		Transcribed locus	AI051312		Hs.602932
1382		Transcribed locus	AI089255		Hs.24611
1383	MAP7D2	MAP7 domain containing 2	R38946	ENSG00000184368|ENSG00000184368	Hs.127951
1384		Transcribed locus	N27841		Hs.658820
1385	HN1L	Hematological and neurological expressed 1-like	AI927412	ENSG00000206053	Hs.513261
1386	CALB2	Calbindin 2	NM_001740		Hs.106857
1387	C8orf42	Chromosome 8 open reading frame 42	AI332448	ENSG00000180190	Hs.289293
1388	CALCA	Calcitonin-related polypeptide alpha	NM_001741	ENSG00000110680	Hs.37058
1389	CALCR	Calcitonin receptor	NM_001742		Hs.489127
1390	CALM2	"Calmodulin 2 (phosphorylase kinase, delta)"	NM_001743	ENSG00000160014|ENSG00000198668|ENSG00000143933	Hs.468442
1391	MYH8	"Myosin, heavy chain 8, skeletal muscle, perinatal"	NM_002472	ENSG00000133020	Hs.700484
1392	CAMK4	Calcium/calmodulin-dependent protein kinase IV	NM_001744	ENSG00000152495	Hs.591269
1393	CAMLG	Calcium modulating ligand	NM_001745	ENSG00000164615	Hs.529846
1394	CANX	Calnexin	NM_001746	ENSG00000127022|ENSG00000127022	Hs.699155
1395	MYL6B	"Myosin, light chain 6B, alkali, smooth muscle and non-muscle"	NM_002475	ENSG00000196465	Hs.632731
1396	MYL4	"Myosin, light chain 4, alkali; atrial, embryonic"	NM_002476	ENSG00000198336	Hs.463300
1397	CAPG	"Capping protein (actin filament), gelsolin-like"	NM_001747	ENSG00000042493	Hs.516155
1398	CAPN2	"Calpain 2, (m/II) large subunit"	NM_001748	ENSG00000162909	Hs.350899
1399	MYL5	"Myosin, light chain 5, regulatory"	NM_002477	ENSG00000215375	Hs.410970
1400	MYOD1	Myogenic differentiation 1	NM_002478	ENSG00000129152	Hs.181768
1401	CAPNS1	"Calpain, small subunit 1"	NM_001749	ENSG00000126247	Hs.515371
1402	MYOG	Myogenin (myogenic factor 4)	NM_002479	ENSG00000122180	Hs.2830
1403	HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	NM_019860		Hs.73739
1404	ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	NM_019862	ENSG00000103222|ENSG00000103222	Hs.709181
1405	MARK3	MAP/microtubule affinity-regulating kinase 3	U64205		Hs.35828
1406	ABHD4	Abhydrolase domain containing 4	AI184220	ENSG00000100439	Hs.445665
1407	NR2F2	"Nuclear receptor subfamily 2, group F, member 2"	AW205779		Hs.657455
1408	SF1	Splicing factor 1	D26121	ENSG00000168066|ENSG00000168066|ENSG00000168066	Hs.502829
1409	SLC19A2	"Solute carrier family 19 (thiamine transporter), member 2"	AJ237724	ENSG00000117479	Hs.30246
1410	SESTD1	SEC14 and spectrin domains 1	AI092265		Hs.30977
1411	CAST	Calpastatin	NM_001750	ENSG00000153113	Hs.436186
1412	PPP1R12A	"Protein phosphatase 1, regulatory (inhibitor) subunit 12A"	NM_002480	ENSG00000058272	Hs.49582
1413	CARS	Cysteinyl-tRNA synthetase	NM_001751	ENSG00000110619|ENSG00000110619	Hs.274873
1414	RASSF6	Ras association (RalGDS/AF-6) domain family member 6	N51576	ENSG00000169435	Hs.590920
1415	GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	AI985274	ENSG00000178234	Hs.647109
1416	PPP1R12B	"Protein phosphatase 1, regulatory (inhibitor) subunit 12B"	NM_002481		Hs.444403
1417	CAT	Catalase	NM_001752	ENSG00000121691	Hs.502302
1418	CAV1	"Caveolin 1, caveolae protein, 22kDa"	NM_001753		Hs.74034
1419	NASP	Nuclear autoantigenic sperm protein (histone-binding)	NM_002482	ENSG00000132780|ENSG00000132780	Hs.319334
1420	RUNX1	Runt-related transcription factor 1	NM_001754	ENSG00000159216|ENSG00000159216	Hs.149261
1421	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	NM_002483	ENSG00000086548	Hs.466814
1422	NUBP1	"Nucleotide binding protein 1 (MinD homolog, E. coli)"	NM_002484	ENSG00000103274	Hs.81469
1423	NBN	Nibrin	NM_002485	ENSG00000104320	Hs.492208
1424	SERPINA6	"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6"	NM_001756	ENSG00000170099	Hs.532635
1425	NCBP1	"Nuclear cap binding protein subunit 1, 80kDa"	NM_002486	ENSG00000136937	Hs.595669
1426	CBR1	Carbonyl reductase 1	NM_001757	ENSG00000159228	Hs.88778
1427	NDN	Necdin homolog (mouse)	NM_002487	ENSG00000182636	Hs.50130
1428			NM_001758		Data not found
1429	CCND2	Cyclin D2	NM_001759	ENSG00000118971	Hs.376071
1430	NDUFA2	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa"	NM_002488	ENSG00000131495	Hs.534333
1431	NDUFA4	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa"	NM_002489	ENSG00000189043	Hs.50098
1432	PSTK	Phosphoseryl-tRNA kinase	AW082236	ENSG00000179988|ENSG00000179988	Hs.281004
1433			H49335		Data not found
1434		Transcribed locus	AA830808		Hs.665847
1435	RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	AF237413	ENSG00000138698|ENSG00000138698|ENSG00000138698	Hs.132858
1436	TBCKL	TBC domain-containing protein kinase-like	AA872305	ENSG00000145348|ENSG00000145348	Hs.292986
1437		Transcribed locus	AA583825		Hs.659898
1438	C1orf43	Chromosome 1 open reading frame 43	AF077036	ENSG00000143612	Hs.287471
1439		Mutant dystrophin	AF181286	NA	Hs.675521
1440	C9orf144	Chromosome 9 open reading frame 144	AA778717	NA|NA|NA	Hs.522093
1441	KIF9	Kinesin family member 9	AI912945	ENSG00000088727|ENSG00000088727|ENSG00000088727	Hs.373947
1442	ARID2	"AT rich interactive domain 2 (ARID, RFX-like)"	AI589867		Hs.317304
1443	CCND3	Cyclin D3	NM_001760	ENSG00000112576	Hs.534307
1444	ACER2	Alkaline ceramidase 2	AI033878	ENSG00000177076	Hs.41379
1445	NDUFA6	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa"	NM_002490	ENSG00000184983	Hs.274416
1446			AA523900_RC		Data not found
1447	CCNF	Cyclin F	NM_001761	ENSG00000162063	Hs.1973
1448	NDUFB3	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"	NM_002491	ENSG00000119013	Hs.109760
1449	CCT6A	"Chaperonin containing TCP1, subunit 6A (zeta 1)"	NM_001762	ENSG00000146731	Hs.82916
1450	NDUFB5	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa"	NM_002492	ENSG00000136521	Hs.718447
1451	NDUFB6	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa"	NM_002493	ENSG00000165264	Hs.493668
1452	CD1B	CD1b molecule	NM_001764	ENSG00000158485	Hs.1310
1453	CD1C	CD1c molecule	NM_001765		Hs.132448
1454	NDUFC1	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa"	NM_002494	ENSG00000109390	Hs.84549
1455	NDUFS4	"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)"	NM_002495	ENSG00000164258	Hs.528222
1456	CD1D	CD1d molecule	NM_001766	ENSG00000158473	Hs.1799
1457	NDUFS8	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	NM_002496	ENSG00000110717	Hs.90443
1458	CD2	CD2 molecule	NM_001767	ENSG00000116824	Hs.523500
1459	NEK2	NIMA (never in mitosis gene a)-related kinase 2	NM_002497	ENSG00000117650	Hs.153704
1460	CD8A	CD8a molecule	NM_001768	ENSG00000153563	Hs.85258
1461	CD9	CD9 molecule	NM_001769	ENSG00000010278	Hs.114286
1462		"Transcribed locus, strongly similar to XP_587515.4 PREDICTED: similar to transmembrane protein 161B [Bos taurus]"	AA764892	NA	Hs.663968
1463	NEO1	Neogenin homolog 1 (chicken)	NM_002499		Hs.388613
1464		Transcribed locus	AI762077		Hs.104977
1465	ZNF594	Zinc finger protein 594	AA872562	ENSG00000180626	Hs.658402
1466	CYP26B1	"Cytochrome P450, family 26, subfamily B, polypeptide 1"	NM_019885	ENSG00000003137	Hs.91546
1467	CHST7	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	NM_019886	ENSG00000147119	Hs.129955
1468	DIABLO	Diablo homolog (Drosophila)	NM_019887	ENSG00000184047	Hs.169611
1469		Transcribed locus	AI221659		Hs.144883
1470	WDR74	WD repeat domain 74	AA813246	ENSG00000133316|ENSG00000133316	Hs.655372
1471		Transcribed locus	AI335257		Hs.668419
1472	MC3R	Melanocortin 3 receptor	NM_019888	ENSG00000124089	Hs.248018
1473	KIF23	Kinesin family member 23	AI131325	ENSG00000137807|ENSG00000137807	Hs.270845
1474	MORN4	MORN repeat containing 4	N21659		Hs.217409
1475		"CDNA FLJ39332 fis, clone OCBBF2017069"	AI127263	NA	Hs.62909
1476	CD19	CD19 molecule	NM_001770	ENSG00000177455	Hs.652262
1477	CD22	CD22 molecule	NM_001771	ENSG00000012124	Hs.579691
1478	CD33	CD33 molecule	NM_001772	ENSG00000105383	Hs.83731
1479	CD34	CD34 molecule	NM_001773	ENSG00000174059	Hs.374990
1480	CD37	CD37 molecule	NM_001774	ENSG00000104894	Hs.166556
1481	CD38	CD38 molecule	NM_001775	ENSG00000004468	Hs.479214
1482	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	NM_001776		Hs.719076
1483	CD47	CD47 molecule	NM_001777		Hs.446414
1484	CD48	CD48 molecule	NM_001778	ENSG00000117091	Hs.243564
1485	CD58	CD58 molecule	NM_001779	ENSG00000116815	Hs.34341
1486	ERO1LB	ERO1-like beta (S. cerevisiae)	NM_019891	ENSG00000086619|ENSG00000086619	Hs.558519
1487	INPP5E	"Inositol polyphosphate-5-phosphatase, 72 kDa"	NM_019892	ENSG00000148384	Hs.120998
1488	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	NM_019893	ENSG00000188611	Hs.512645
1489	RBM24	RNA binding motif protein 24	AI744574	ENSG00000112183	Hs.519904
1490		"CDNA FLJ37936 fis, clone CTONG2005468"	AI799909	NA	Hs.328236
1491	LIN7C	Lin-7 homolog C (C. elegans)	AF090900	ENSG00000148943|ENSG00000148943	Hs.91393
1492	EIF3K	"Eukaryotic translation initiation factor 3, subunit K"	AF077051	ENSG00000178982|ENSG00000178982|ENSG00000178982	Hs.314359
1493	POLE4	"Polymerase (DNA-directed), epsilon 4 (p12 subunit)"	NM_019896	ENSG00000115350	Hs.469060
1494			N33073		Data not found
1495	OR2S2	"Olfactory receptor, family 2, subfamily S, member 2"	NM_019897	ENSG00000122718	Hs.553540
1496		Transcribed locus	AI492902		Hs.645916
1497			AW078886		Data not found
1498	PARD6B	Par-6 partitioning defective 6 homolog beta (C. elegans)	AA017064		Hs.589848
1499	SDHALP1	"Succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 1"	AI027547	NA|NA	Hs.566872
1500		Transcribed locus	AA412029		Hs.662359
1501		Transcribed locus	AA680045		Hs.46669
1502		Transcribed locus	AI479183		Hs.659418
1503	CD63	CD63 molecule	NM_001780	ENSG00000135404	Hs.445570
1504	CD69	CD69 molecule	NM_001781	ENSG00000110848	Hs.208854
1505	CD72	CD72 molecule	NM_001782	ENSG00000137101	Hs.116481
1506		Transcribed locus	AI768785		Hs.652524
1507	CD79A	"CD79a molecule, immunoglobulin-associated alpha"	NM_001783	ENSG00000105369	Hs.631567
1508	LIN7A	Lin-7 homolog A (C. elegans)	AI191622	ENSG00000111052|ENSG00000111052	Hs.144333
1509		Transcribed locus	N34671		Hs.632024
1510		Leucocyte antigen CD97	NM_001784	NA	Hs.466039
1511	CDC2	"Cell division cycle 2, G1 to S and G2 to M"	NM_001786	ENSG00000170312	Hs.334562
1512			NM_001787		Data not found
1513	Sep-07	Septin 7	NM_001788	ENSG00000122545	Hs.191346
1514	CDC25A	Cell division cycle 25 homolog A (S. pombe)	NM_001789	ENSG00000164045|ENSG00000164045	Hs.437705
1515	AFAP1L2	Actin filament associated protein 1-like 2	AW138743	ENSG00000169129	Hs.501106
1516		Clone HQ0262	AF090910	NA	Hs.673108
1517			AF090911		Data not found
1518		Transcribed locus	AI004431		Hs.370611
1519		Clone HQ0290	AF090913	NA	Hs.612032
1520	ALDH6A1	"Aldehyde dehydrogenase 6 family, member A1"	AF148505	ENSG00000119711	Hs.293970
1521	UNC13A	Unc-13 homolog A (C. elegans)	R60139		Hs.164502
1522	LGI3	"Leucine-rich repeat LGI family, member 3"	AI424458	ENSG00000168481	Hs.33470
1523		Clone HQ0319	AF090918	NA	Hs.612033
1524	CUZD1	CUB and zona pellucida-like domains 1	AI417638	ENSG00000138161	Hs.647182
1525		Transcribed locus	AI379288		Hs.595557
1526	CDC25C	Cell division cycle 25 homolog C (S. pombe)	NM_001790	ENSG00000158402	Hs.656
1527	CDC42	"Cell division cycle 42 (GTP binding protein, 25kDa)"	NM_001791	ENSG00000070831	Hs.690198
1528	CDH2	"Cadherin 2, type 1, N-cadherin (neuronal)"	NM_001792	ENSG00000170558	Hs.464829
1529	CDH3	"Cadherin 3, type 1, P-cadherin (placental)"	NM_001793	ENSG00000062038	Hs.191842
1530	CDH4	"Cadherin 4, type 1, R-cadherin (retinal)"	NM_001794	ENSG00000179242	Hs.473231
1531	CDH5	"Cadherin 5, type 2 (vascular endothelium)"	NM_001795	ENSG00000179776|ENSG00000179776	Hs.76206
1532		Transcribed locus	AW130519		Hs.668948
1533		Transcribed locus	AI380061		Hs.668846
1534	CDH8	"Cadherin 8, type 2"	NM_001796	ENSG00000150394	Hs.368322
1535	CDH11	"Cadherin 11, type 2, OB-cadherin (osteoblast)"	NM_001797	ENSG00000140937	Hs.116471
1536		Transcribed locus	AA931284		Hs.599613
1537	CDK2	Cyclin-dependent kinase 2	NM_001798	ENSG00000123374	Hs.19192
1538	CDK7	Cyclin-dependent kinase 7	NM_001799	ENSG00000134058	Hs.184298
1539	C22orf43	Chromosome 22 open reading frame 43	AA857437	ENSG00000189269|ENSG00000189269	Hs.517466
1540	PDE4C	"Phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)"	AI051127		Hs.132584
1541		Transcribed locus	AA424339		Hs.157173
1542		Clone HQ0352 PRO0352	AF090920	NA	Hs.676461
1543	GSR	Glutathione reductase	AF228704		Hs.271510
1544		Clone HQ0452 PRO0452	AF090925	NA	Hs.612034
1545	LOC151174	Hypothetical LOC151174	AI002152	NA	Hs.424165
1546	MAP6D1	MAP6 domain containing 1	AW135982	ENSG00000180834	Hs.478465
1547			AF090927		Data not found
1548	GTPBP2	GTP binding protein 2	AW104930		Hs.485449
1549		Transcribed locus	AI740748		Hs.710017
1550		Transcribed locus	AA402483		Hs.97313
1551	STAB2	Stabilin 2	W87930		Hs.408249
1552			AF090935		Data not found
1553	C20orf39	Chromosome 20 open reading frame 39	AI970896	ENSG00000101463	Hs.124638
1554		Clone HQ0582	AF090936	NA	Hs.612036
1555	AP2M1	"Adaptor-related protein complex 2, mu 1 subunit"	AI208235	ENSG00000161203|ENSG00000161203	Hs.518460
1556		Transcribed locus	AI740796		Hs.606496
1557		"CDNA FLJ40933 fis, clone UTERU2007081"	AW206414	NA	Hs.649764
1558	SPIN3	"Spindlin family, member 3"	AA910404	ENSG00000204271	Hs.522672
1559		Putative FAP protein	U63542	NA	Hs.661427
1560	ANKS3	Ankyrin repeat and sterile alpha motif domain containing 3	AW002854	ENSG00000168096	Hs.654859
1561		Clone HQ0663 PRO0663	AF090944	NA	Hs.673096
1562	STOX1	Storkhead box 1	AA442072	ENSG00000165730	Hs.37636
1563		CDNA clone IMAGE:4779711	AA429262	NA	Hs.460642
1564	OLA1	Obg-like ATPase 1	AF090946	ENSG00000138430|ENSG00000138430	Hs.157351
1565			AF090947		Data not found
1566		"CDNA FLJ26437 fis, clone KDN02067"	AW298119	NA	Hs.662113
1567	LOC100132884	Hypothetical protein LOC100132884	AW297878	NA	Hs.535040
1568	C21orf91	Chromosome 21 open reading frame 91	AI922520		Hs.293811
1569		"CDNA FLJ35362 fis, clone SKMUS2000330"	AI336844	NA	Hs.668429
1570	TMEM90A	Transmembrane protein 90A	AA664114	ENSG00000183379	Hs.12400
1571	C22orf33	Chromosome 22 open reading frame 33	AA846324	ENSG00000185264	Hs.124502
1572	LRRC37A	Leucine rich repeat containing 37A	AA767621		Hs.696401
1573	GATSL3	GATS protein-like 3	AI742029	ENSG00000182482	Hs.444950
1574		"Transcribed locus, weakly similar to NP_001129941.1 transmembrane protein 108 [Homo sapiens]"	H08161	NA	Hs.691690
1575	NCRNA00173	Non-protein coding RNA 173	AI821565	NA	Hs.441601
1576	PCGF5	Polycomb group ring finger 5	AI798098		Hs.500512
1577	C16orf89	Chromosome 16 open reading frame 89	AI823572	ENSG00000153446	Hs.11782
1578	GLIS1	GLIS family zinc finger 1	AA872588	ENSG00000174332	Hs.306691
1579		Transcribed locus	AI005109		Hs.130623
